/mocapdata/data/flic/test/princess-diaries-2-00076521.jpg 54.4518135602 1,0,0,0,0,1,0
/mocapdata/data/flic/test/princess-diaries-2-00076541.jpg 95.0157881618 1,0,0,0,1,1,1
/mocapdata/data/flic/test/princess-diaries-2-00076621.jpg 42.1544778167 0,0,0,0,0,1,0
/mocapdata/data/flic/test/princess-diaries-2-00076631.jpg 40.5215991787 0,0,0,0,0,0,0
/mocapdata/data/flic/test/princess-diaries-2-00076641.jpg 46.5725240888 0,0,0,0,0,0,0
/mocapdata/data/flic/test/princess-diaries-2-00076681.jpg 51.7397332811 0,0,0,0,0,1,0
/mocapdata/data/flic/test/princess-diaries-2-00076691.jpg 58.6941223633 1,0,0,0,0,1,0
/mocapdata/data/flic/test/princess-diaries-2-00076701.jpg 49.3963561409 0,0,0,0,0,1,0
/mocapdata/data/flic/test/princess-diaries-2-00076731.jpg 53.0 1,0,0,0,0,1,0
/mocapdata/data/flic/test/princess-diaries-2-00076741.jpg 51.3127664427 1,0,0,0,0,0,0
/mocapdata/data/flic/test/princess-diaries-2-00076811.jpg 44.418464629 0,0,0,0,0,1,0
/mocapdata/data/flic/test/princess-diaries-2-00076871.jpg 50.9901951359 1,0,0,0,0,1,0
/mocapdata/data/flic/test/princess-diaries-2-00076881.jpg 46.5295604965 0,0,0,0,0,1,0
/mocapdata/data/flic/test/princess-diaries-2-00076911.jpg 41.8807831827 0,0,0,0,0,0,0
/mocapdata/data/flic/test/princess-diaries-2-00077031.jpg 63.0634601017 1,0,0,0,0,1,1
/mocapdata/data/flic/test/princess-diaries-2-00077041.jpg 64.6374504448 1,0,0,0,0,1,0
/mocapdata/data/flic/test/princess-diaries-2-00077131.jpg 87.4585616163 1,0,0,1,0,1,1
/mocapdata/data/flic/test/princess-diaries-2-00077141.jpg 59.3632883186 1,1,0,1,0,0,0
/mocapdata/data/flic/test/princess-diaries-2-00077151.jpg 63.8122245342 1,1,1,1,1,1,1
/mocapdata/data/flic/test/princess-diaries-2-00077161.jpg 79.649231007 1,1,0,1,1,1,1
/mocapdata/data/flic/test/princess-diaries-2-00077191.jpg 83.8152730712 1,0,0,0,0,1,1
/mocapdata/data/flic/test/princess-diaries-2-00077201.jpg 71.4702735408 1,0,0,1,0,1,1
/mocapdata/data/flic/test/princess-diaries-2-00077221.jpg 79.1580697087 1,0,0,1,0,1,1
/mocapdata/data/flic/test/princess-diaries-2-00077231.jpg 72.124891681 1,0,0,1,0,1,1
/mocapdata/data/flic/test/princess-diaries-2-00077241.jpg 74.0 1,1,0,1,0,1,1
/mocapdata/data/flic/test/princess-diaries-2-00077321.jpg 78.7464284904 1,0,0,0,0,1,0
/mocapdata/data/flic/test/princess-diaries-2-00077411.jpg 78.4091831357 1,1,0,0,0,1,1
/mocapdata/data/flic/test/princess-diaries-2-00077421.jpg 74.6525284234 1,1,1,1,0,1,1
/mocapdata/data/flic/test/princess-diaries-2-00077431.jpg 77.9871784334 1,1,0,1,0,1,1
/mocapdata/data/flic/test/princess-diaries-2-00077501.jpg 96.8968523741 1,1,1,0,1,1,1
/mocapdata/data/flic/test/princess-diaries-2-00077521.jpg 74.2428447731 1,0,0,0,0,1,0
/mocapdata/data/flic/test/princess-diaries-2-00077541.jpg 58.0517010948 1,1,0,0,0,1,1
/mocapdata/data/flic/test/princess-diaries-2-00077571.jpg 78.2304288624 1,0,0,0,0,1,1
/mocapdata/data/flic/test/princess-diaries-2-00077581.jpg 77.9358710736 1,0,0,0,0,1,1
